,Restaurant,UserID,Menu,Total
162,치킨&강정-노량진점,rl**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
163,치킨&강정-노량진점,ch**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
164,치킨&강정-노량진점,ba**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(변경 안함))",5
165,치킨&강정-노량진점,7t**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
166,치킨&강정-노량진점,si**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(콜라 1.25L로 변경))",5
167,치킨&강정-노량진점,sm**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
168,치킨&강정-노량진점,7t**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
169,치킨&강정-노량진점,dh**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),5
170,치킨&강정-노량진점,ma**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(매운맛)),4
171,치킨&강정-노량진점,xw**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
172,치킨&강정-노량진점,co**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(사이다 500mL로 변경))",5
173,치킨&강정-노량진점,ps**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
174,치킨&강정-노량진점,al**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
175,치킨&강정-노량진점,jo**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),치킨무/1,떡/1",5
176,치킨&강정-노량진점,gu**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
177,치킨&강정-노량진점,ri**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
178,치킨&강정-노량진점,ol**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
179,치킨&강정-노량진점,qu**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
180,치킨&강정-노량진점,sh**님,"바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),콜라 500mL/1",1
181,치킨&강정-노량진점,ga**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
182,치킨&강정-노량진점,wh**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
183,치킨&강정-노량진점,jw**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
184,치킨&강정-노량진점,mu**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
185,치킨&강정-노량진점,rl**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
186,치킨&강정-노량진점,aj**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
187,치킨&강정-노량진점,mi**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
188,치킨&강정-노량진점,li**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
189,치킨&강정-노량진점,gu**님,바삭한순살닭강정 大자 /1(닭강정 大자 맛 선택(순한맛)),5
190,치킨&강정-노량진점,ls**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(매운맛)),5
191,치킨&강정-노량진점,wl**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
192,치킨&강정-노량진점,ta**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
193,치킨&강정-노량진점,do**님,"SET 1 바삭한 반반 순살 닭강정（中자 1＋中자 1＋콜라500mL＋치킨무）/1(닭강정 中자 맛 선택 1(순한맛),닭강정 中자 맛 선택 2(매운맛),음료 추가선택(사이다 500mL로 변경))",5
194,치킨&강정-노량진점,al**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
195,치킨&강정-노량진점,fe**님,바삭한순살닭강정 中자/1(닭강정 中자 맛 선택(순한맛)),5
